id (sample/pos),prediction (coi/maf)
sim1,1
sim2,1
sim3,1
sim4,1
sim5,1
sim6,1
sim7,1
sim8,1
sim9,1
sim10,1
sim11,1
sim12,1
sim13,1
sim14,1
sim15,1
sim16,1
sim17,1
sim18,1
sim19,1
sim20,1
sim21,1
sim22,1
sim23,1
sim24,1
sim25,1
sim26,1
sim27,1
sim28,1
sim29,1
sim30,1
sim31,1
sim32,1
sim33,1
sim34,1
sim35,1
sim36,1
sim37,1
sim38,1
sim39,1
sim40,1
sim41,1
sim42,1
sim43,1
sim44,1
sim45,1
sim46,1
sim47,1
sim48,1
sim49,1
sim50,1
sim51,1
sim52,1
sim53,1
sim54,1
sim55,1
sim56,1
sim57,1
sim58,1
sim59,3
sim60,2
sim61,2
sim62,2
sim63,4
sim64,2
sim65,2
sim66,3
sim67,2
sim68,2
sim69,2
sim70,3
sim71,2
sim72,2
sim73,2
sim74,2
sim75,3
sim76,2
sim77,2
sim78,2
sim79,2
sim80,3
sim81,2
sim82,2
sim83,2
sim84,2
sim85,2
sim86,3
sim87,2
sim88,4
sim89,4
sim90,3
sim91,2
sim92,3
sim93,4
sim94,2
sim95,2
sim96,3
sim97,3
sim98,5
sim99,5
0,0.321428571429
1,0.425925925926
2,0.0909090909091
3,0.196428571429
4,0.333333333333
5,0.321428571429
6,0.25
7,0.0
8,0.125
9,0.431034482759
10,0.181818181818
11,0.0357142857143
12,0.381818181818
13,0.345454545455
14,0.0545454545455
15,0.192307692308
16,0.153846153846
17,0.103448275862
18,0.127272727273
19,0.351851851852
20,0.345454545455
21,0.0545454545455
22,0.303571428571
23,0.436363636364
