id (sample/pos),prediction (coi/maf)
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,2
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,2
58,1
59,20
60,2
61,4
62,9
63,24
64,7
65,3
66,7
67,2
68,5
69,3
70,5
71,6
72,2
73,12
74,2
75,12
76,2
77,5
78,3
79,2
80,5
81,3
82,3
83,3
84,4
85,2
86,4
87,3
88,5
89,22
90,4
91,2
92,8
93,19
94,5
95,4
96,11
97,4
98,24
99,9
X0,0.0349020240227
X1,0.38322523529
X2,0.974500339658
X3,0.292672634085
X4,0.0791702273111
X5,0.259005963508
X7,0.00462505338811
X8,0.0589946105297
X9,0.704845952867
X11,0.00630259668383
X12,0.360259783395
X13,0.122739647556
X15,0.0540191356551
X16,0.0881574810306
X19,0.263160834347
X20,0.0639481070244
X21,0.939487375477
X22,0.0591451115918
X23,0.542538526846
