id (sample/pos),prediction (coi/maf)
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,2
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,5
60,2
61,4
62,5
63,11
64,4
65,2
66,3
67,2
68,4
69,4
70,7
71,3
72,3
73,14
74,3
75,8
76,3
77,3
78,2
79,3
80,6
81,4
82,2
83,2
84,3
85,6
86,4
87,3
88,17
89,20
90,4
91,3
92,7
93,15
94,4
95,5
96,4
97,5
98,17
99,25
X0,0.0748764761009
X1,0.339602896909
X2,0.956672296056
X3,0.231942257137
X4,0.0432980765568
X5,0.267777403358
X7,0.00173707652023
X8,0.0632985202195
X9,0.680820039894
X11,0.0134628317194
X12,0.448309886957
X13,0.109991264166
X15,0.0739635878626
X16,0.0435849944825
X19,0.236239563925
X20,0.0532291804029
X21,0.939698384059
X22,0.147222744254
X23,0.374507093943
