id (sample/pos),prediction (coi/maf)
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,3
60,2
61,2
62,2
63,4
64,2
65,2
66,4
67,2
68,2
69,3
70,3
71,2
72,2
73,3
74,2
75,9
76,2
77,2
78,2
79,2
80,3
81,2
82,1
83,2
84,3
85,2
86,3
87,2
88,6
89,17
90,6
91,2
92,6
93,5
94,3
95,2
96,7
97,3
98,11
99,7
X0,0.672964376554
X1,0.657789997342
X2,0.901239404452
X3,0.713056025135
X4,0.723843331785
X5,0.736255376968
X6,0.779829811888
X8,0.915045693137
X9,0.60841391847
X10,0.83331667772
X11,0.973423005999
X12,0.588266301662
X13,0.600216560937
X14,0.982093095654
X15,0.8200086094
X16,0.83332506471
X17,0.872454060908
X18,0.954808451095
X19,0.722880526439
X20,0.724198728814
X21,0.923044801492
X22,0.599495357676
X23,0.53595695659
