file	CorP	name	mean	median	sd	quantile0.025	quantile0.975
output.txt	C	1	2	2	0.14057	2	2
output.txt	C	2	2	2	0.20786	2	3
output.txt	C	3	2	2	0.60158	2	4
output.txt	C	4	1	1	0	1	1
output.txt	C	5	3	3	0.72364	2	5
output.txt	C	6	2	2	0.72355	2	4
output.txt	C	7	3	3	0.68548	2	5
output.txt	C	8	3	3	0.6304	2	4
output.txt	C	9	1	1	0.32718	1	2
output.txt	C	10	5	5	1.25642	3	8
output.txt	C	11	2	2	0.70512	2	4
output.txt	C	12	6	6	1.91657	4	11
output.txt	C	13	4	4	1.00917	3	7
output.txt	C	14	3	3	0.7661	2	5
output.txt	C	15	3	3	0.80325	2	5
output.txt	C	16	2	2	0.43933	2	3
output.txt	C	17	1	1	0	1	1
output.txt	C	18	2	2	0.13857	2	2
output.txt	C	19	2	2	0.50986	2	3
output.txt	C	20	2	2	0.20109	1	2
output.txt	C	21	4	4	1.069	2	6
output.txt	C	22	2	2	0.45559	2	3
output.txt	C	23	1	1	0	1	1
output.txt	C	24	2	2	0.73409	2	4
output.txt	C	25	2	1	0.51834	1	2
output.txt	C	26	3	3	0.86752	2	5
output.txt	C	27	5	4	1.82352	2	9
output.txt	C	28	3	3	1.46599	2	7
output.txt	C	29	2	2	0.08338	2	2
output.txt	C	30	3	2	0.65706	2	4
output.txt	C	31	2	2	0.4062	1	3
output.txt	C	32	4	4	1.24661	3	7
output.txt	C	33	4	3	0.77874	2	5
output.txt	P	site1	0.463602747666667	0.4621385	0.07893	0.313545	0.6192645
output.txt	P	site2	0.0683914862222222	0.065179	0.03197	0.017001	0.140619
output.txt	P	site3	0.979570177444444	0.983929	0.01709	0.935492	0.99861
output.txt	P	site4	0.784463993555556	0.787282	0.06351	0.6453303	0.895933025
output.txt	P	site6	0.0318791788888889	0.027263	0.02311	0.002517	0.086744
output.txt	P	site8	0.272386123111111	0.2693685	0.06662	0.152855	0.41214705
output.txt	P	site10	0.0187531192222222	0.015637	0.01596	0.000598	0.06084
output.txt	P	site11	0.802455368	0.806371	0.05247	0.688351	0.897289
output.txt	P	site13	0.556947306111111	0.5578525	0.084	0.388856	0.71656545
output.txt	P	site14	0.562384410333333	0.563613	0.07503	0.412416	0.70679085
output.txt	P	site18	0.984845215111111	0.988719	0.01388	0.948301	0.999592
output.txt	P	site21	0.0902290436666667	0.085488	0.04	0.025455	0.183158375
output.txt	P	site22	0.855198846666667	0.859763	0.04783	0.748961675	0.935389
output.txt	P	site24	0.658106949222222	0.6612645	0.06809	0.51808285	0.783366
output.txt	P	site25	0.911899632222222	0.915268	0.03396	0.8350813	0.96631205
output.txt	P	site27	0.859256355555556	0.863539	0.04932	0.75213585	0.942285
output.txt	P	site29	0.985299428777778	0.988776	0.01344	0.949363	0.999371
output.txt	P	site30	0.341050684111111	0.3394415	0.06889	0.212814	0.484351
output.txt	P	site31	0.924222799888889	0.927357	0.0341	0.843058	0.978838
output.txt	P	site34	0.774703435666667	0.778196	0.05693	0.654009125	0.873057
output.txt	P	site35	0.943184783444444	0.9476415	0.03066	0.868981	0.98910885
output.txt	P	site38	0.137496108777778	0.131568	0.05347	0.050916	0.258261
output.txt	P	site39	0.035969388	0.033197	0.02123	0.00627	0.0857278999999999
output.txt	P	site43	0.0158266716666667	0.011653	0.01444	0.000474	0.051669
output.txt	P	site45	0.530106049222222	0.52982	0.07084	0.391047125	0.666996
output.txt	P	site47	0.785265433111111	0.7874715	0.05743	0.66349	0.885768
output.txt	P	site49	0.715069013	0.7203395	0.07277	0.560390875	0.848406
output.txt	P	site51	0.0390727396666667	0.034631	0.02462	0.003925	0.09831125
output.txt	P	site54	0.474562213333333	0.474146	0.07621	0.329014775	0.62247235
output.txt	P	site55	0.109850831888889	0.1053635	0.04113	0.04355945	0.201156
output.txt	P	site56	0.811329785666667	0.815671	0.05921	0.682054	0.91397
output.txt	P	site57	0.960030146	0.964001	0.02507	0.9006236	0.996174
output.txt	P	site59	0.462397671666667	0.460845	0.07789	0.314823975	0.6218963
output.txt	P	site61	0.0576027762222222	0.054117	0.02839	0.012409	0.12061
output.txt	P	site64	0.849826824111111	0.853845	0.04482	0.751732	0.927427
output.txt	P	site69	0.0946478324444444	0.0913715	0.03649	0.03591	0.177109375
output.txt	P	site70	0.197385020888889	0.192334	0.05347	0.103069	0.30916295
output.txt	P	site71	0.0237970884444444	0.01848	0.0211	0.000919	0.0777767499999999
output.txt	P	site75	0.912822355555556	0.916933	0.03876	0.822788125	0.974964175
output.txt	P	site77	0.197299117666667	0.19178	0.06215	0.090979	0.3317543
output.txt	P	site79	0.452511873	0.4518255	0.07494	0.306555425	0.601085275
output.txt	P	site81	0.0616303144444444	0.058651	0.03009	0.013016	0.12949605
output.txt	P	site82	0.0280828558888889	0.023569	0.02165	0.001246	0.081207
output.txt	P	site84	0.0186856643333333	0.013712	0.01645	0.000723	0.061383
output.txt	P	site88	0.965245694888889	0.971248	0.02607	0.899592775	0.997859125
output.txt	P	site89	0.963710500777778	0.967668	0.02525	0.901621	0.997439
output.txt	P	site90	0.0748812532222222	0.069527	0.0353	0.020558	0.157772525
output.txt	P	site92	0.0646111426666667	0.060813	0.03015	0.016515	0.134827725
output.txt	P	site94	0.978851537555556	0.98251	0.01771	0.932351275	0.999212
output.txt	P	site96	0.975905041111111	0.980303	0.01877	0.929113	0.998649
output.txt	P	site97	0.662827498444444	0.665253	0.06469	0.525651	0.779374
output.txt	P	site98	0.485349509666667	0.485522	0.08255	0.32372	0.647699875
output.txt	P	site101	0.0243103997777778	0.01962	0.01897	0.001079175	0.070987
output.txt	P	site102	0.800723501222222	0.806108	0.05766	0.675955975	0.900521
output.txt	P	site103	0.978428043222222	0.983068	0.01815	0.930996375	0.998949
