id (sample/pos),prediction (coi/maf)
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,5
60,4
61,2
62,5
63,11
64,4
65,4
66,4
67,2
68,3
69,5
70,2
71,2
72,2
73,10
74,4
75,7
76,3
77,2
78,7
79,6
80,11
81,2
82,2
83,2
84,3
85,3
86,4
87,5
88,5
89,15
90,10
91,2
92,16
93,8
94,12
95,5
96,9
97,4
98,20
99,21
X0,0.0591467589279
X1,0.397375177057
X2,0.952754490355
X3,0.226092782261
X4,0.0682316853491
X5,0.306351862416
X7,0.00300196690723
X8,0.0341994086851
X9,0.708656249416
X11,0.0174626239522
X12,0.386791670071
X13,0.114079185325
X15,0.0890824088908
X16,0.0410456058589
X19,0.187008936528
X20,0.058535893856
X21,0.920806370821
X22,0.0874908755564
X23,0.407566137164
